starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 21:21:37 2024	1730838097	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:36 2024	1730838096	3	2	5	0
Tue Nov 05 21:21:48 2024	1730838108	2	3	5	0
Tue Nov 05 21:21:37 2024	1730838097	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:35 2024	1730838095	2	3	5	0
Tue Nov 05 21:21:57 2024	1730838117	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:10 2024	1730838070	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:13 2024	1730838073	3	2	5	0
Tue Nov 05 21:21:39 2024	1730838099	4	1	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:40 2024	1730838100	2	3	5	0
Tue Nov 05 21:21:40 2024	1730838100	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:45 2024	1730838105	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:59 2024	1730838119	2	3	5	0
Tue Nov 05 21:21:56 2024	1730838116	2	3	5	0
Tue Nov 05 21:21:35 2024	1730838095	2	3	5	0
Tue Nov 05 21:21:03 2024	1730838063	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:59 2024	1730838119	3	2	5	0
Tue Nov 05 21:21:39 2024	1730838099	2	3	5	0
Tue Nov 05 21:21:30 2024	1730838090	2	3	5	0
Tue Nov 05 21:21:44 2024	1730838104	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	2	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:29 2024	1730838089	2	3	5	0
Tue Nov 05 21:21:10 2024	1730838070	3	2	5	0
Tue Nov 05 21:21:07 2024	1730838067	2	3	5	0
Tue Nov 05 21:21:51 2024	1730838111	3	2	5	0
Tue Nov 05 21:21:56 2024	1730838116	3	2	5	0
Tue Nov 05 21:21:02 2024	1730838062	3	2	5	0
Tue Nov 05 21:21:11 2024	1730838071	2	3	5	0
Tue Nov 05 21:21:48 2024	1730838108	2	2	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:19 2024	1730838079	2	3	5	0
Tue Nov 05 21:21:35 2024	1730838095	2	3	5	0
Tue Nov 05 21:21:37 2024	1730838097	2	3	5	0
Tue Nov 05 21:21:30 2024	1730838090	3	2	5	0
Tue Nov 05 21:21:57 2024	1730838117	3	2	5	0
Tue Nov 05 21:22:01 2024	1730838121	2	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
